evaluations raw_y
1 0.0000000000
3 70.0000000000
5 190.0000000000
6 290.0000000000
11 314.0000000000
15 353.0000000000
43 381.0000000000
56 385.0000000000
58 398.0000000000
66 402.0000000000
130 403.0000000000
149 406.0000000000
200 414.0000000000
297 416.0000000000
383 417.0000000000
440 418.0000000000
550 419.0000000000
733 420.0000000000
838 422.0000000000
870 425.0000000000
1242 426.0000000000
2459 427.0000000000
2589 429.0000000000
2744 430.0000000000
2847 434.0000000000
4680 435.0000000000
5447 438.0000000000
10001 267.0000000000
