evaluations raw_y
5537 712.2700000000
5559 712.8800000000
5560 732.2600000000
5599 736.1000000000
5618 741.3900000000
5673 746.0300000000
5785 748.7200000000
5796 748.8700000000
5819 750.5200000000
5824 768.4100000000
5838 833.9000000000
6032 846.3100000000
6484 846.8800000000
6751 850.6500000000
6843 850.7800000000
6859 865.3500000000
6964 868.5100000000
6966 876.2600000000
7052 884.1100000000
7064 890.6100000000
8001 927.9100000000
8100 935.5800000000
8138 961.4800000000
8335 967.5900000000
9832 972.0300000000
10001 919.3000000000
