evaluations raw_y
14 1623.2667648817
19 1706.8873824434
22 2321.5945848387
26 2686.3347759467
31 3348.2717910175
32 3716.4942678898
39 4447.5293113966
42 4784.4058571855
44 6041.3028811037
55 6799.7089655099
73 7408.0994654065
74 9444.3123913377
112 9791.9238836035
189 10419.0043289496
207 10440.5766518570
266 10651.9562879856
280 11011.8732628065
292 11595.1638802629
308 12769.6963173146
342 14595.1327358256
367 15484.7213164251
379 16320.3251139222
388 17398.5543512237
413 18306.2044427128
425 19092.8527677802
429 20118.6109975422
442 20759.0976727277
449 21240.2872528386
491 22295.8590502341
550 23206.7265713531
553 23612.0370081783
561 23625.0173674192
571 23842.2263935684
573 24196.0341709402
577 24709.7817440400
586 25064.4429781933
589 26051.1857490156
607 26371.3903679120
687 26565.0770436474
773 27293.9320143197
796 27907.0149917782
822 28166.5666977930
868 28481.2527545463
904 29664.5935080379
908 30154.5449594551
962 30665.4810355863
1078 32001.2887578629
1131 32902.2886328084
1142 33080.2817998431
1154 33675.1669949064
1211 33836.6923604341
1236 34492.2027610741
1269 34731.8473914373
1446 35392.4554210012
1519 37068.3863709708
1520 37748.6930804584
1548 38017.8544697273
1574 38164.6814644589
1622 38561.6904218535
1638 38946.7305150022
1650 39199.2261209599
1659 39546.8286525288
1808 40535.7606127214
1880 40995.4413590613
1992 41836.5660795057
2163 42393.8085069666
2172 43016.8951220202
2243 43155.6111303560
2317 43415.8392218722
2387 43429.2713475877
2453 43510.2379999794
2486 43866.5508383150
2649 44984.0772311136
2695 45087.8987900654
2723 46134.2432278145
2830 46916.5036818385
2861 47804.7693091344
2891 50309.1991371214
3028 50692.1699569103
3056 50786.7454839906
3078 50879.5804358882
3169 51386.2104137124
3355 52003.8582392880
3370 52328.6706673939
3416 54129.8110028411
3455 54137.5834181602
3531 55383.7311193666
3594 56290.1057459503
3788 56876.9283298831
3898 58066.9052275988
3972 59058.1514042786
4078 59299.9076156863
4079 60196.7921511492
4177 61018.5664014471
4256 61347.4720076450
4282 61676.3411936186
4342 62816.9827447083
4360 63241.4214682302
4398 63346.8933078816
4543 64704.8615158707
4594 65523.7366977054
4619 66165.3384217371
4728 67126.2511630791
4807 67673.0040912995
4905 67997.4539502579
4933 68248.0596786835
4942 68583.6565735028
5285 69836.6283638679
5357 70216.5519261303
5388 70409.4234538741
5629 70555.9791906648
5719 70897.2296340166
5910 71053.9017569192
6076 71726.9971190508
6190 72322.4611016348
6392 75625.0434682660
6397 75970.7936163261
6494 76483.4107622552
6535 76765.2894423655
6552 77988.2777905269
6756 78573.0754846930
7067 78594.7451376759
7090 80009.7381663230
7097 82333.0342203573
7616 83202.2930151598
7729 83967.6109289129
7863 85477.9283903282
7913 85541.5732928817
8135 85931.1137500892
8255 86366.9238659216
8300 86818.6812258225
8304 86925.6072149866
8546 87280.1091262578
8760 87776.0495296225
8768 89279.0517766666
8797 89378.7693469510
9065 89551.9791746864
9083 89840.9404266556
9158 91606.2934450055
9350 91889.5263768729
9469 93040.2209087497
9757 93653.7466836353
9826 94645.3768565356
10001 81457.7125994755
