evaluations raw_y
1 0.0000000000
3 154.0000000000
5 209.0000000000
6 266.0000000000
19 328.0000000000
27 337.0000000000
30 339.0000000000
33 372.0000000000
40 383.0000000000
56 402.0000000000
83 409.0000000000
93 410.0000000000
127 413.0000000000
219 415.0000000000
256 416.0000000000
283 418.0000000000
368 419.0000000000
451 422.0000000000
765 426.0000000000
1350 430.0000000000
1411 431.0000000000
2009 432.0000000000
2771 433.0000000000
2936 434.0000000000
3219 435.0000000000
5116 437.0000000000
7691 438.0000000000
7879 439.0000000000
10001 244.0000000000
