evaluations raw_y
1 0.0000000000
2 244.0000000000
3 278.0000000000
4 284.0000000000
7 294.0000000000
9 315.0000000000
10 361.0000000000
12 373.0000000000
14 387.0000000000
82 395.0000000000
129 396.0000000000
180 412.0000000000
367 413.0000000000
428 414.0000000000
429 415.0000000000
430 418.0000000000
558 419.0000000000
595 421.0000000000
721 423.0000000000
1207 424.0000000000
1215 425.0000000000
1230 426.0000000000
1402 428.0000000000
1620 431.0000000000
4364 432.0000000000
4441 433.0000000000
4861 434.0000000000
5679 435.0000000000
7807 438.0000000000
10001 268.0000000000
