evaluations raw_y
4150 712.4900000000
5255 712.5900000000
5310 713.3800000000
5323 716.2400000000
5333 720.0500000000
5576 723.1500000000
5633 738.6000000000
5779 751.2300000000
6864 763.0000000000
7095 770.9000000000
7358 778.6800000000
7401 784.6900000000
7498 792.7800000000
7561 802.6200000000
7571 803.8400000000
7587 816.0700000000
7622 824.2200000000
7783 825.3600000000
8024 829.6700000000
8174 836.1100000000
8268 841.6600000000
8348 856.3200000000
8448 858.0300000000
8495 863.1400000000
9610 869.0600000000
9843 869.1000000000
9889 869.7500000000
10001 790.2800000000
