evaluations raw_y
20 1043.8249079055
21 2174.1330130294
22 2789.8660654209
28 2919.2006820432
30 2978.4288936383
39 3013.0337059388
48 3894.7176681763
65 4308.1092385212
67 4475.5792775492
68 4510.9693088563
72 5361.7353535145
92 5876.5185519484
115 6674.1669495827
126 6916.8487235382
134 7781.8326414206
148 8003.5515097371
183 8365.3990166189
187 8806.3136100800
204 9469.6224534929
213 9744.6237244048
215 10958.1077520979
242 11596.7925833347
289 12153.4563860871
295 12435.6171820529
298 12997.3622180757
332 13069.2940369843
360 13178.3005184752
368 13229.0201895972
378 13865.9261949539
393 13868.4485714904
427 14660.4503801899
468 15331.4938339238
521 15892.7826644984
546 16631.7095997496
563 17132.9413406472
573 17690.3388266602
590 18379.5731221819
628 19293.4036219035
634 19614.1908509560
643 20130.8607711317
654 20493.3636062727
678 20833.7064626600
705 22141.0685221614
768 22198.3222702859
814 22358.1403302817
862 23097.1292661044
934 23467.8787852755
982 25368.1290543188
1017 26010.9804240020
1033 26563.3882984851
1118 26678.9008476601
1166 27386.8079876660
1182 27489.3726852799
1185 27680.2180860441
1224 28875.8102037495
1251 29093.4383537271
1282 29394.9420964332
1381 31541.1643384260
1416 32771.4666500379
1460 33307.0406326194
1525 33553.2591958655
1558 34198.4533469138
1616 35511.8349574961
1777 35584.4023113907
1828 36566.9267781396
1879 37480.8134456900
1889 38439.1376541824
1941 38446.5219012421
2053 38722.2227763866
2058 39178.2389788323
2078 39294.6305417114
2089 39881.4748903444
2108 39944.5344353182
2164 40729.6045081435
2198 41148.0894481109
2214 41613.5764050189
2318 42076.0655288173
2329 42564.9232908405
2330 43187.4298973269
2344 43240.6206246352
2387 43247.4174443518
2421 44815.3379082557
2433 47309.6037010099
2553 48787.5967024275
2557 49023.6346124838
2576 51985.1131370811
2670 52611.2160329920
2683 53586.2612120148
2714 54109.1992142876
2925 54735.4466074510
3020 55075.5837902396
3033 55505.7889963701
3179 56621.7059285206
3224 56679.0102485526
3504 56807.3424306374
3508 57706.4519742898
3784 58582.6245383859
3863 58704.2849581932
4076 58930.4436957103
4192 60628.8920719664
4236 61617.6013159946
4340 62173.8360642150
4403 63151.8263106224
4420 63483.0586456958
4480 63676.6396484423
4512 65301.4522749286
4679 65555.5388930190
4770 66001.1539069021
4860 66610.4696027298
5019 66971.4399057232
5020 67877.3301953326
5055 69314.2209577559
5146 69579.7825848211
5219 69992.8029153274
5461 70900.4412035934
5533 71622.4608366503
5852 72171.2915252517
5995 72512.1864591327
6231 73013.4725676270
6269 73956.5860378287
6277 75187.7707804833
6317 75601.8425004547
6454 76148.3028673732
6837 76358.5397047313
6859 76809.8433195173
6884 77717.3036905260
7037 78127.7857280512
7197 78960.3369620080
7558 79113.3483274582
7662 79214.9862807125
7893 80166.2532151745
7979 81894.8765558148
8010 82192.9552781869
8187 83761.5924373024
8527 83805.7534154612
8712 83958.7685111560
9007 84580.9087533547
9087 84870.1893873940
9301 85291.6697735855
9464 85566.3884945232
9633 86276.4447450424
9657 86439.5170086950
9670 87448.1081332208
9906 88178.1565981043
10001 13399.4043085631
