"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
59 -3.40000e+01
69 -3.30000e+01
74 -3.20000e+01
195 -3.10000e+01
312 -3.00000e+01
437 -2.90000e+01
500 -2.80000e+01
559 -2.70000e+01
724 -2.60000e+01
896 -2.50000e+01
1042 -2.40000e+01
1111 -2.30000e+01
1196 -2.20000e+01
1203 -2.10000e+01
1242 -2.00000e+01
1333 -1.90000e+01
1406 -1.80000e+01
1641 -1.70000e+01
1897 -1.60000e+01
2083 -1.50000e+01
2180 -1.40000e+01
2279 -1.30000e+01
2411 -1.20000e+01
2542 -1.10000e+01
2979 -1.00000e+01
3135 -9.00000e+00
3356 -8.00000e+00
3426 -7.00000e+00
3526 -6.00000e+00
3939 -5.00000e+00
4095 -4.00000e+00
4149 -3.00000e+00
4267 -2.00000e+00
4385 -1.00000e+00
5043 +3.64000e+02
5349 +3.75000e+02
5475 +3.76000e+02
5858 +3.78000e+02
6316 +3.83000e+02
6648 +3.97000e+02
6867 +4.08000e+02
8005 +4.10000e+02
8160 +4.13000e+02
8302 +4.19000e+02
8472 +4.20000e+02
9831 +4.27000e+02
9951 +4.27000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
7 -3.30000e+01
36 -3.20000e+01
94 -3.10000e+01
138 -3.00000e+01
191 -2.90000e+01
240 -2.80000e+01
325 -2.70000e+01
414 -2.60000e+01
429 -2.50000e+01
465 -2.40000e+01
714 -2.30000e+01
820 -2.20000e+01
894 -2.10000e+01
1228 -2.00000e+01
1304 -1.90000e+01
1366 -1.80000e+01
1392 -1.70000e+01
1548 -1.60000e+01
1639 -1.50000e+01
1671 -1.40000e+01
1716 -1.30000e+01
1855 -1.20000e+01
1875 -1.10000e+01
1962 -1.00000e+01
2156 -9.00000e+00
2382 -8.00000e+00
2595 -7.00000e+00
2880 -6.00000e+00
3098 -5.00000e+00
3338 -4.00000e+00
3868 -3.00000e+00
4258 -2.00000e+00
4445 -1.00000e+00
4741 +3.63000e+02
4754 +3.71000e+02
4812 +3.76000e+02
5224 +3.78000e+02
5295 +3.86000e+02
5493 +3.90000e+02
5753 +3.91000e+02
5841 +3.97000e+02
6616 +4.04000e+02
7245 +4.11000e+02
7551 +4.12000e+02
7632 +4.14000e+02
9049 +4.16000e+02
9397 +4.17000e+02
9951 +4.17000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
3 -3.40000e+01
16 -3.30000e+01
85 -3.20000e+01
212 -3.10000e+01
253 -3.00000e+01
423 -2.90000e+01
542 -2.70000e+01
698 -2.60000e+01
828 -2.50000e+01
962 -2.40000e+01
1076 -2.30000e+01
1241 -2.20000e+01
1408 -2.10000e+01
1431 -2.00000e+01
1610 -1.90000e+01
1830 -1.80000e+01
1885 -1.70000e+01
1905 -1.60000e+01
2141 -1.50000e+01
2373 -1.40000e+01
2451 -1.20000e+01
2862 -1.00000e+01
3375 -9.00000e+00
3531 -8.00000e+00
3600 -7.00000e+00
3728 -6.00000e+00
3773 -5.00000e+00
3827 -4.00000e+00
4023 -3.00000e+00
4146 -2.00000e+00
4779 -1.00000e+00
4944 +3.83000e+02
5134 +3.93000e+02
5249 +4.00000e+02
6278 +4.01000e+02
7548 +4.03000e+02
7991 +4.06000e+02
8754 +4.09000e+02
9093 +4.10000e+02
9951 +4.10000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
4 -3.40000e+01
26 -3.30000e+01
46 -3.20000e+01
133 -3.10000e+01
389 -3.00000e+01
463 -2.90000e+01
509 -2.80000e+01
552 -2.60000e+01
667 -2.50000e+01
801 -2.40000e+01
859 -2.30000e+01
929 -2.20000e+01
1023 -2.10000e+01
1077 -1.90000e+01
1261 -1.80000e+01
1439 -1.70000e+01
1590 -1.60000e+01
1800 -1.50000e+01
2121 -1.40000e+01
2273 -1.30000e+01
2432 -1.20000e+01
2503 -1.10000e+01
2553 -1.00000e+01
2591 -9.00000e+00
2702 -8.00000e+00
2987 -7.00000e+00
3174 -6.00000e+00
3259 -5.00000e+00
3383 -4.00000e+00
3468 -3.00000e+00
3590 -2.00000e+00
3978 -1.00000e+00
3984 +3.62000e+02
4103 +3.64000e+02
4148 +3.66000e+02
4409 +3.74000e+02
4502 +3.82000e+02
4794 +3.91000e+02
5009 +3.96000e+02
5694 +3.97000e+02
5752 +4.00000e+02
5794 +4.02000e+02
5941 +4.05000e+02
6230 +4.10000e+02
7447 +4.15000e+02
8414 +4.18000e+02
9951 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
26 -3.40000e+01
174 -3.30000e+01
228 -3.20000e+01
297 -3.10000e+01
427 -3.00000e+01
595 -2.90000e+01
759 -2.80000e+01
900 -2.70000e+01
996 -2.60000e+01
1065 -2.50000e+01
1119 -2.40000e+01
1217 -2.30000e+01
1306 -2.20000e+01
1368 -2.10000e+01
1558 -2.00000e+01
1664 -1.90000e+01
1799 -1.80000e+01
1877 -1.70000e+01
1971 -1.60000e+01
2161 -1.50000e+01
2289 -1.40000e+01
2329 -1.30000e+01
2486 -1.20000e+01
2559 -1.10000e+01
2624 -9.00000e+00
2969 -8.00000e+00
3090 -7.00000e+00
3364 -6.00000e+00
3601 -5.00000e+00
3685 -4.00000e+00
3870 -3.00000e+00
3880 -2.00000e+00
4028 -1.00000e+00
4196 +3.82000e+02
4320 +3.87000e+02
4719 +3.97000e+02
5068 +4.00000e+02
5072 +4.05000e+02
5090 +4.07000e+02
5232 +4.15000e+02
6173 +4.16000e+02
6212 +4.17000e+02
6262 +4.23000e+02
6807 +4.26000e+02
9951 +4.26000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
43 -3.40000e+01
208 -3.30000e+01
283 -3.20000e+01
330 -3.10000e+01
366 -3.00000e+01
443 -2.90000e+01
484 -2.80000e+01
628 -2.70000e+01
697 -2.60000e+01
829 -2.50000e+01
887 -2.40000e+01
1122 -2.30000e+01
1161 -2.20000e+01
1253 -2.10000e+01
1306 -2.00000e+01
1321 -1.90000e+01
1432 -1.80000e+01
1714 -1.70000e+01
1879 -1.60000e+01
1887 -1.50000e+01
1936 -1.40000e+01
2039 -1.30000e+01
2193 -1.20000e+01
2529 -1.10000e+01
2661 -1.00000e+01
3042 -9.00000e+00
3071 -8.00000e+00
3191 -7.00000e+00
3703 -6.00000e+00
3897 -5.00000e+00
4207 -4.00000e+00
5068 -3.00000e+00
5420 -2.00000e+00
6096 -1.00000e+00
6297 +3.53000e+02
6424 +3.68000e+02
7095 +3.73000e+02
7324 +3.80000e+02
7525 +3.87000e+02
7547 +3.88000e+02
8074 +3.91000e+02
8211 +3.95000e+02
8321 +4.05000e+02
8824 +4.13000e+02
9230 +4.14000e+02
9683 +4.16000e+02
9951 +4.16000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
80 -3.40000e+01
150 -3.30000e+01
209 -3.20000e+01
361 -3.10000e+01
406 -3.00000e+01
570 -2.90000e+01
707 -2.80000e+01
1031 -2.70000e+01
1104 -2.60000e+01
1186 -2.50000e+01
1284 -2.40000e+01
1477 -2.30000e+01
1596 -2.20000e+01
1791 -2.10000e+01
1889 -2.00000e+01
2067 -1.90000e+01
2159 -1.80000e+01
2230 -1.70000e+01
2335 -1.60000e+01
2475 -1.50000e+01
2697 -1.40000e+01
2731 -1.30000e+01
2867 -1.20000e+01
2914 -1.10000e+01
3264 -1.00000e+01
3481 -9.00000e+00
3660 -8.00000e+00
3798 -7.00000e+00
4099 -6.00000e+00
4249 -5.00000e+00
4433 -4.00000e+00
5098 -3.00000e+00
5348 -2.00000e+00
5850 -1.00000e+00
5905 +3.69000e+02
6141 +3.75000e+02
6199 +3.80000e+02
6465 +3.83000e+02
6492 +3.85000e+02
6780 +3.86000e+02
7089 +3.88000e+02
7199 +3.90000e+02
7243 +3.94000e+02
7310 +3.95000e+02
7513 +4.05000e+02
7932 +4.06000e+02
8066 +4.08000e+02
8230 +4.09000e+02
8433 +4.12000e+02
8810 +4.20000e+02
9951 +4.20000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
3 -3.40000e+01
77 -3.30000e+01
113 -3.20000e+01
179 -3.10000e+01
269 -2.90000e+01
412 -2.80000e+01
486 -2.70000e+01
658 -2.60000e+01
813 -2.50000e+01
856 -2.40000e+01
904 -2.30000e+01
933 -2.20000e+01
1011 -2.10000e+01
1050 -2.00000e+01
1123 -1.90000e+01
1243 -1.80000e+01
1248 -1.70000e+01
1423 -1.60000e+01
1560 -1.50000e+01
1617 -1.40000e+01
1689 -1.30000e+01
1736 -1.20000e+01
1930 -1.10000e+01
2087 -1.00000e+01
2110 -9.00000e+00
2304 -8.00000e+00
2412 -7.00000e+00
2545 -6.00000e+00
2611 -5.00000e+00
3168 -4.00000e+00
3201 -3.00000e+00
3268 -2.00000e+00
4071 -1.00000e+00
4494 +3.69000e+02
4553 +3.80000e+02
4980 +3.81000e+02
4983 +3.82000e+02
4987 +3.87000e+02
5056 +3.93000e+02
5873 +4.00000e+02
6090 +4.07000e+02
6585 +4.10000e+02
7086 +4.18000e+02
7523 +4.19000e+02
8124 +4.21000e+02
8172 +4.25000e+02
9951 +4.25000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
39 -3.40000e+01
88 -3.30000e+01
186 -3.20000e+01
337 -3.10000e+01
384 -2.90000e+01
513 -2.80000e+01
621 -2.70000e+01
758 -2.60000e+01
915 -2.50000e+01
1025 -2.40000e+01
1096 -2.20000e+01
1247 -2.10000e+01
1361 -2.00000e+01
1376 -1.90000e+01
1670 -1.80000e+01
1815 -1.70000e+01
2074 -1.60000e+01
2257 -1.50000e+01
2523 -1.30000e+01
2649 -1.20000e+01
2831 -1.10000e+01
3200 -1.00000e+01
3343 -9.00000e+00
3363 -8.00000e+00
3369 -7.00000e+00
3442 -6.00000e+00
3637 -5.00000e+00
3697 -4.00000e+00
4018 -3.00000e+00
4130 -2.00000e+00
4335 -1.00000e+00
4620 +3.46000e+02
4792 +3.47000e+02
4805 +3.51000e+02
4848 +3.74000e+02
5173 +3.77000e+02
5191 +3.86000e+02
5423 +3.87000e+02
5498 +3.99000e+02
5693 +4.03000e+02
6168 +4.05000e+02
6314 +4.06000e+02
6808 +4.07000e+02
6901 +4.10000e+02
7582 +4.14000e+02
9100 +4.15000e+02
9167 +4.16000e+02
9951 +4.16000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
31 -3.40000e+01
113 -3.30000e+01
203 -3.20000e+01
327 -3.10000e+01
461 -3.00000e+01
695 -2.90000e+01
805 -2.80000e+01
891 -2.70000e+01
945 -2.60000e+01
1039 -2.50000e+01
1162 -2.40000e+01
1315 -2.30000e+01
1526 -2.10000e+01
1648 -2.00000e+01
1841 -1.90000e+01
1954 -1.80000e+01
2020 -1.70000e+01
2202 -1.60000e+01
2282 -1.50000e+01
2357 -1.40000e+01
2497 -1.30000e+01
2548 -1.20000e+01
2676 -1.10000e+01
2723 -1.00000e+01
2835 -9.00000e+00
3112 -8.00000e+00
3837 -7.00000e+00
4021 -6.00000e+00
4038 -5.00000e+00
4254 -4.00000e+00
4474 -3.00000e+00
4609 -2.00000e+00
4920 -1.00000e+00
5212 +3.79000e+02
5261 +3.90000e+02
5331 +3.92000e+02
5821 +3.94000e+02
6166 +3.97000e+02
6197 +3.99000e+02
6731 +4.00000e+02
6957 +4.03000e+02
7331 +4.09000e+02
7340 +4.11000e+02
7412 +4.13000e+02
7449 +4.16000e+02
7659 +4.19000e+02
8282 +4.24000e+02
9951 +4.24000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
15 -3.40000e+01
17 -3.30000e+01
98 -3.20000e+01
282 -3.10000e+01
341 -3.00000e+01
438 -2.90000e+01
627 -2.80000e+01
726 -2.70000e+01
869 -2.60000e+01
1083 -2.50000e+01
1117 -2.40000e+01
1232 -2.30000e+01
1361 -2.20000e+01
1688 -2.10000e+01
1734 -2.00000e+01
1861 -1.90000e+01
2208 -1.80000e+01
2392 -1.70000e+01
2586 -1.60000e+01
2733 -1.40000e+01
2914 -1.30000e+01
2960 -1.20000e+01
3113 -1.10000e+01
3277 -1.00000e+01
3488 -9.00000e+00
4024 -8.00000e+00
4337 -7.00000e+00
4455 -6.00000e+00
4546 -5.00000e+00
4684 -4.00000e+00
4856 -3.00000e+00
5038 -2.00000e+00
5073 -1.00000e+00
5155 +3.82000e+02
5488 +3.87000e+02
5591 +4.10000e+02
5896 +4.14000e+02
6591 +4.19000e+02
8662 +4.21000e+02
9452 +4.22000e+02
9951 +4.22000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
20 -3.40000e+01
86 -3.30000e+01
272 -3.20000e+01
437 -3.10000e+01
470 -3.00000e+01
739 -2.90000e+01
766 -2.80000e+01
863 -2.70000e+01
984 -2.60000e+01
991 -2.50000e+01
1107 -2.40000e+01
1134 -2.30000e+01
1289 -2.20000e+01
1497 -2.10000e+01
1502 -2.00000e+01
1710 -1.90000e+01
1991 -1.80000e+01
2196 -1.70000e+01
2238 -1.60000e+01
2320 -1.50000e+01
2438 -1.40000e+01
2665 -1.30000e+01
2767 -1.20000e+01
2963 -1.10000e+01
3128 -1.00000e+01
3409 -9.00000e+00
3522 -7.00000e+00
3667 -5.00000e+00
4546 -4.00000e+00
4922 -3.00000e+00
5349 -2.00000e+00
5675 -1.00000e+00
5845 +3.73000e+02
6121 +3.82000e+02
6271 +3.86000e+02
6330 +3.91000e+02
6364 +3.95000e+02
6403 +4.06000e+02
6987 +4.07000e+02
7605 +4.09000e+02
7938 +4.10000e+02
8052 +4.12000e+02
8062 +4.13000e+02
8145 +4.16000e+02
8939 +4.26000e+02
9951 +4.26000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
14 -3.40000e+01
154 -3.30000e+01
159 -3.20000e+01
301 -3.10000e+01
409 -3.00000e+01
492 -2.90000e+01
622 -2.80000e+01
812 -2.70000e+01
943 -2.60000e+01
990 -2.50000e+01
998 -2.40000e+01
1025 -2.30000e+01
1172 -2.20000e+01
1219 -2.10000e+01
1246 -2.00000e+01
1292 -1.90000e+01
1378 -1.80000e+01
1593 -1.70000e+01
1752 -1.60000e+01
1998 -1.50000e+01
2002 -1.40000e+01
2308 -1.30000e+01
2395 -1.20000e+01
2504 -1.10000e+01
2975 -1.00000e+01
3056 -9.00000e+00
3153 -8.00000e+00
3217 -7.00000e+00
3271 -6.00000e+00
3397 -5.00000e+00
3552 -4.00000e+00
3784 -3.00000e+00
3909 -2.00000e+00
4223 -1.00000e+00
4517 +3.94000e+02
4722 +4.07000e+02
4936 +4.11000e+02
4991 +4.12000e+02
4995 +4.13000e+02
5505 +4.14000e+02
6854 +4.21000e+02
7765 +4.23000e+02
8636 +4.24000e+02
9475 +4.27000e+02
9951 +4.27000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
2 -3.40000e+01
111 -3.30000e+01
307 -3.20000e+01
412 -3.10000e+01
433 -3.00000e+01
439 -2.90000e+01
587 -2.80000e+01
733 -2.70000e+01
988 -2.60000e+01
1000 -2.50000e+01
1177 -2.40000e+01
1285 -2.30000e+01
1490 -2.20000e+01
1671 -2.10000e+01
1773 -2.00000e+01
1854 -1.90000e+01
1934 -1.80000e+01
2013 -1.70000e+01
2093 -1.60000e+01
2123 -1.50000e+01
2172 -1.40000e+01
2368 -1.30000e+01
2436 -1.20000e+01
2537 -1.10000e+01
2699 -1.00000e+01
2842 -9.00000e+00
3037 -8.00000e+00
3257 -7.00000e+00
3561 -6.00000e+00
3667 -5.00000e+00
3786 -4.00000e+00
3936 -3.00000e+00
4063 -2.00000e+00
4654 -1.00000e+00
4736 +3.47000e+02
5021 +3.58000e+02
5084 +3.61000e+02
5144 +3.64000e+02
5148 +3.69000e+02
5544 +3.84000e+02
5546 +3.91000e+02
5711 +4.07000e+02
5868 +4.08000e+02
6255 +4.16000e+02
7911 +4.18000e+02
7917 +4.19000e+02
9498 +4.20000e+02
9951 +4.20000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
14 -3.40000e+01
172 -3.30000e+01
469 -3.20000e+01
650 -3.10000e+01
715 -3.00000e+01
814 -2.90000e+01
879 -2.70000e+01
945 -2.60000e+01
1092 -2.50000e+01
1136 -2.40000e+01
1298 -2.30000e+01
1426 -2.20000e+01
1683 -2.10000e+01
1810 -2.00000e+01
1832 -1.90000e+01
1989 -1.80000e+01
2085 -1.70000e+01
2144 -1.60000e+01
2232 -1.50000e+01
2316 -1.40000e+01
2442 -1.30000e+01
2465 -1.20000e+01
2749 -1.00000e+01
2935 -9.00000e+00
3133 -8.00000e+00
3480 -7.00000e+00
3539 -6.00000e+00
3869 -5.00000e+00
4061 -4.00000e+00
4233 -2.00000e+00
4325 -1.00000e+00
4407 +3.72000e+02
4613 +3.81000e+02
4731 +3.82000e+02
4751 +3.90000e+02
5101 +4.00000e+02
5468 +4.02000e+02
5863 +4.09000e+02
7901 +4.18000e+02
9951 +4.18000e+02
"function evaluation" "best-so-far f(x)"
1 -3.50000e+01
5 -3.40000e+01
74 -3.30000e+01
216 -3.20000e+01
295 -3.10000e+01
406 -3.00000e+01
409 -2.90000e+01
491 -2.80000e+01
768 -2.70000e+01
916 -2.50000e+01
1046 -2.40000e+01
1150 -2.30000e+01
