"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
38 -4.80000e+01
72 -4.70000e+01
92 -4.60000e+01
142 -4.50000e+01
143 -4.40000e+01
348 -4.30000e+01
407 -4.20000e+01
539 -4.10000e+01
843 -4.00000e+01
880 -3.90000e+01
901 -3.80000e+01
1208 -3.70000e+01
1271 -3.60000e+01
1274 -3.50000e+01
1765 -3.40000e+01
1895 -3.30000e+01
2368 -3.20000e+01
2532 -3.10000e+01
2906 -3.00000e+01
3183 -2.90000e+01
3242 -2.80000e+01
3814 -2.70000e+01
4045 -2.60000e+01
4055 -2.50000e+01
4110 -2.40000e+01
4142 -2.30000e+01
4359 -2.20000e+01
4695 -2.10000e+01
5199 -2.00000e+01
5326 -1.90000e+01
6048 -1.80000e+01
6232 -1.70000e+01
6372 -1.60000e+01
6648 -1.50000e+01
6799 -1.30000e+01
6863 -1.20000e+01
7280 -1.10000e+01
8119 -1.00000e+01
8137 -9.00000e+00
8189 -8.00000e+00
9981 -8.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
40 -4.80000e+01
55 -4.70000e+01
150 -4.60000e+01
187 -4.40000e+01
249 -4.30000e+01
437 -4.20000e+01
707 -4.10000e+01
1025 -4.00000e+01
1053 -3.90000e+01
1177 -3.80000e+01
1312 -3.70000e+01
1499 -3.60000e+01
1585 -3.40000e+01
1599 -3.30000e+01
1775 -3.20000e+01
1872 -3.10000e+01
2016 -3.00000e+01
2030 -2.90000e+01
2431 -2.80000e+01
2756 -2.70000e+01
2806 -2.60000e+01
3136 -2.50000e+01
3174 -2.40000e+01
3374 -2.30000e+01
3384 -2.20000e+01
3535 -2.10000e+01
3661 -2.00000e+01
3687 -1.90000e+01
3782 -1.80000e+01
4215 -1.70000e+01
4641 -1.60000e+01
4720 -1.50000e+01
5132 -1.40000e+01
5280 -1.30000e+01
5571 -1.20000e+01
5754 -1.10000e+01
6654 -1.00000e+01
6992 -9.00000e+00
7350 -8.00000e+00
