"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
4 -6.50000e+01
83 -6.40000e+01
142 -6.30000e+01
200 -6.20000e+01
285 -6.10000e+01
291 -6.00000e+01
387 -5.90000e+01
439 -5.80000e+01
447 -5.70000e+01
455 -5.60000e+01
507 -5.50000e+01
529 -5.40000e+01
566 -5.30000e+01
597 -5.20000e+01
625 -5.10000e+01
786 -5.00000e+01
793 -4.90000e+01
817 -4.70000e+01
1111 -4.60000e+01
1284 -4.50000e+01
1485 -4.40000e+01
1655 -4.30000e+01
1662 -4.20000e+01
1699 -4.10000e+01
1715 -4.00000e+01
1749 -3.90000e+01
2006 -3.80000e+01
2051 -3.70000e+01
2126 -3.60000e+01
2142 -3.50000e+01
2162 -3.40000e+01
2231 -3.30000e+01
2411 -3.20000e+01
2840 -3.10000e+01
2841 -3.00000e+01
3149 -2.90000e+01
3225 -2.80000e+01
3493 -2.70000e+01
3578 -2.60000e+01
3616 -2.50000e+01
3643 -2.40000e+01
3661 -2.30000e+01
3792 -2.20000e+01
3841 -2.10000e+01
4262 -2.00000e+01
4479 -1.90000e+01
4672 -1.80000e+01
4745 -1.70000e+01
4915 -1.60000e+01
4941 -1.50000e+01
5220 -1.40000e+01
5260 -1.30000e+01
5552 -1.20000e+01
5787 -1.10000e+01
6634 -1.00000e+01
6750 -9.00000e+00
6863 -8.00000e+00
7374 -7.00000e+00
7748 -6.00000e+00
7756 -5.00000e+00
8040 -4.00000e+00
8494 -3.00000e+00
9340 -2.00000e+00
9835 -1.00000e+00
9991 -1.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
5 -6.50000e+01
29 -6.40000e+01
40 -6.30000e+01
154 -6.20000e+01
252 -6.10000e+01
338 -6.00000e+01
513 -5.90000e+01
633 -5.80000e+01
778 -5.70000e+01
792 -5.60000e+01
852 -5.50000e+01
947 -5.40000e+01
1037 -5.30000e+01
1124 -5.20000e+01
1126 -5.10000e+01
1171 -5.00000e+01
1226 -4.90000e+01
1306 -4.80000e+01
1404 -4.70000e+01
1606 -4.60000e+01
1638 -4.50000e+01
1673 -4.40000e+01
1724 -4.30000e+01
2016 -4.10000e+01
2091 -4.00000e+01
2092 -3.90000e+01
2236 -3.80000e+01
2337 -3.70000e+01
2385 -3.60000e+01
2389 -3.50000e+01
2423 -3.40000e+01
2571 -3.30000e+01
2843 -3.20000e+01
3017 -3.10000e+01
3581 -3.00000e+01
3592 -2.90000e+01
3707 -2.80000e+01
3844 -2.70000e+01
3898 -2.60000e+01
3941 -2.50000e+01
4140 -2.40000e+01
4154 -2.30000e+01
4239 -2.20000e+01
4313 -2.10000e+01
4322 -2.00000e+01
4603 -1.90000e+01
4604 -1.80000e+01
4838 -1.70000e+01
4926 -1.60000e+01
5204 -1.50000e+01
5757 -1.40000e+01
5793 -1.30000e+01
6082 -1.20000e+01
6117 -1.10000e+01
6402 -1.00000e+01
6967 -9.00000e+00
7451 -8.00000e+00
7569 -7.00000e+00
8160 -6.00000e+00
8671 -5.00000e+00
8847 -4.00000e+00
9282 -3.00000e+00
9587 -2.00000e+00
9660 -1.00000e+00
9825 +5.62000e+02
9991 +5.62000e+02
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
3 -6.50000e+01
37 -6.40000e+01
113 -6.30000e+01
254 -6.20000e+01
290 -6.10000e+01
311 -6.00000e+01
403 -5.90000e+01
597 -5.80000e+01
687 -5.70000e+01
759 -5.60000e+01
856 -5.50000e+01
869 -5.40000e+01
1034 -5.30000e+01
1294 -5.20000e+01
1305 -5.10000e+01
1313 -5.00000e+01
1625 -4.90000e+01
1812 -4.80000e+01
1924 -4.70000e+01
2044 -4.60000e+01
2063 -4.50000e+01
2807 -4.40000e+01
2827 -4.30000e+01
2899 -4.20000e+01
2945 -4.10000e+01
3012 -4.00000e+01
3148 -3.90000e+01
3178 -3.80000e+01
3274 -3.70000e+01
3424 -3.60000e+01
3466 -3.50000e+01
3575 -3.40000e+01
3634 -3.30000e+01
3680 -3.20000e+01
3756 -3.10000e+01
3838 -2.90000e+01
3880 -2.80000e+01
4129 -2.70000e+01
4275 -2.60000e+01
4522 -2.50000e+01
4665 -2.40000e+01
4824 -2.30000e+01
5142 -2.20000e+01
5432 -2.10000e+01
5613 -2.00000e+01
5794 -1.90000e+01
5883 -1.80000e+01
6158 -1.70000e+01
6995 -1.60000e+01
7164 -1.50000e+01
7196 -1.40000e+01
7203 -1.30000e+01
7270 -1.20000e+01
7293 -1.10000e+01
7582 -1.00000e+01
7834 -9.00000e+00
7877 -8.00000e+00
7945 -7.00000e+00
7976 -6.00000e+00
8015 -5.00000e+00
8161 -4.00000e+00
8225 -3.00000e+00
8482 -2.00000e+00
8602 -1.00000e+00
9370 +5.47000e+02
9411 +5.64000e+02
9506 +5.80000e+02
9991 +5.80000e+02
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
14 -6.50000e+01
151 -6.40000e+01
174 -6.30000e+01
196 -6.20000e+01
206 -6.10000e+01
345 -6.00000e+01
411 -5.80000e+01
422 -5.70000e+01
428 -5.60000e+01
484 -5.50000e+01
557 -5.40000e+01
614 -5.30000e+01
680 -5.20000e+01
704 -5.10000e+01
872 -4.90000e+01
1056 -4.80000e+01
1333 -4.70000e+01
1507 -4.60000e+01
1645 -4.50000e+01
1820 -4.30000e+01
1822 -4.10000e+01
1918 -4.00000e+01
1978 -3.90000e+01
2124 -3.80000e+01
2137 -3.70000e+01
2227 -3.60000e+01
2298 -3.50000e+01
2467 -3.40000e+01
2677 -3.30000e+01
2937 -3.20000e+01
3032 -3.10000e+01
3453 -3.00000e+01
3622 -2.90000e+01
4015 -2.80000e+01
4041 -2.70000e+01
4049 -2.60000e+01
4171 -2.50000e+01
4241 -2.40000e+01
4285 -2.30000e+01
4321 -2.20000e+01
4345 -2.10000e+01
5008 -2.00000e+01
5028 -1.90000e+01
5299 -1.80000e+01
5511 -1.70000e+01
6141 -1.60000e+01
6191 -1.50000e+01
6308 -1.40000e+01
7053 -1.30000e+01
7070 -1.20000e+01
7106 -1.10000e+01
7134 -1.00000e+01
7222 -9.00000e+00
7466 -8.00000e+00
7704 -7.00000e+00
7757 -6.00000e+00
7778 -5.00000e+00
7859 -4.00000e+00
9208 -3.00000e+00
9489 -2.00000e+00
9772 -1.00000e+00
9991 -1.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
29 -6.50000e+01
107 -6.40000e+01
162 -6.30000e+01
212 -6.20000e+01
219 -6.10000e+01
343 -6.00000e+01
355 -5.80000e+01
574 -5.70000e+01
635 -5.60000e+01
726 -5.50000e+01
890 -5.40000e+01
907 -5.30000e+01
991 -5.20000e+01
1083 -5.10000e+01
1096 -5.00000e+01
1173 -4.90000e+01
1179 -4.80000e+01
1207 -4.70000e+01
1212 -4.60000e+01
1214 -4.50000e+01
1343 -4.40000e+01
1589 -4.30000e+01
1625 -4.20000e+01
1793 -4.10000e+01
1805 -3.90000e+01
2154 -3.80000e+01
2459 -3.70000e+01
2509 -3.60000e+01
2647 -3.50000e+01
3291 -3.40000e+01
3709 -3.30000e+01
3902 -3.20000e+01
3951 -3.10000e+01
3997 -3.00000e+01
4046 -2.90000e+01
4164 -2.80000e+01
4614 -2.70000e+01
4680 -2.60000e+01
5114 -2.50000e+01
5122 -2.40000e+01
5185 -2.30000e+01
5437 -2.20000e+01
5456 -2.10000e+01
5484 -2.00000e+01
5689 -1.90000e+01
5708 -1.80000e+01
5756 -1.70000e+01
5903 -1.60000e+01
5962 -1.50000e+01
6476 -1.40000e+01
6716 -1.30000e+01
6770 -1.20000e+01
7616 -1.10000e+01
7786 -1.00000e+01
7974 -9.00000e+00
8122 -8.00000e+00
8674 -7.00000e+00
9180 -6.00000e+00
9270 -5.00000e+00
9293 -4.00000e+00
9600 -3.00000e+00
9991 -3.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
30 -6.50000e+01
58 -6.40000e+01
76 -6.30000e+01
251 -6.20000e+01
348 -6.10000e+01
423 -6.00000e+01
707 -5.90000e+01
895 -5.80000e+01
903 -5.70000e+01
928 -5.60000e+01
957 -5.50000e+01
1089 -5.40000e+01
1137 -5.30000e+01
1175 -5.20000e+01
1227 -5.10000e+01
1314 -5.00000e+01
1738 -4.90000e+01
1800 -4.80000e+01
1918 -4.70000e+01
1998 -4.60000e+01
2209 -4.50000e+01
2212 -4.40000e+01
2345 -4.30000e+01
2358 -4.20000e+01
2474 -4.10000e+01
2492 -3.90000e+01
2503 -3.80000e+01
2556 -3.70000e+01
2763 -3.60000e+01
3155 -3.50000e+01
3646 -3.40000e+01
3672 -3.30000e+01
3791 -3.20000e+01
3925 -3.10000e+01
3942 -3.00000e+01
4631 -2.90000e+01
4680 -2.80000e+01
4748 -2.70000e+01
5099 -2.60000e+01
5545 -2.50000e+01
5662 -2.40000e+01
5750 -2.30000e+01
5853 -2.20000e+01
5917 -2.10000e+01
5979 -2.00000e+01
6152 -1.90000e+01
6239 -1.80000e+01
6718 -1.70000e+01
6844 -1.60000e+01
6887 -1.50000e+01
6973 -1.40000e+01
7030 -1.30000e+01
7033 -1.20000e+01
7046 -1.10000e+01
7901 -1.00000e+01
7964 -9.00000e+00
8968 -8.00000e+00
9757 -7.00000e+00
9991 -7.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
35 -6.50000e+01
95 -6.40000e+01
187 -6.30000e+01
196 -6.20000e+01
271 -6.10000e+01
282 -6.00000e+01
315 -5.90000e+01
339 -5.80000e+01
374 -5.70000e+01
398 -5.60000e+01
426 -5.50000e+01
460 -5.40000e+01
666 -5.30000e+01
776 -5.20000e+01
951 -5.10000e+01
994 -5.00000e+01
1036 -4.90000e+01
1070 -4.80000e+01
1292 -4.70000e+01
1329 -4.60000e+01
1487 -4.50000e+01
1706 -4.40000e+01
1801 -4.30000e+01
1831 -4.20000e+01
1888 -4.10000e+01
1941 -4.00000e+01
1950 -3.90000e+01
1992 -3.80000e+01
2256 -3.70000e+01
2587 -3.60000e+01
2649 -3.50000e+01
2710 -3.40000e+01
3102 -3.30000e+01
3127 -3.20000e+01
3341 -3.10000e+01
3861 -3.00000e+01
4378 -2.90000e+01
4432 -2.80000e+01
4538 -2.70000e+01
4622 -2.60000e+01
4722 -2.50000e+01
4783 -2.40000e+01
4956 -2.30000e+01
5094 -2.20000e+01
5259 -2.10000e+01
5342 -2.00000e+01
5456 -1.90000e+01
5652 -1.80000e+01
5690 -1.60000e+01
6040 -1.50000e+01
6090 -1.40000e+01
6200 -1.30000e+01
6368 -1.20000e+01
6600 -1.10000e+01
6808 -1.00000e+01
6912 -9.00000e+00
7024 -8.00000e+00
7057 -7.00000e+00
7423 -6.00000e+00
8173 -5.00000e+00
8344 -4.00000e+00
8488 -3.00000e+00
8660 -2.00000e+00
8767 -1.00000e+00
8900 +6.20000e+02
9077 +6.31000e+02
9539 +6.34000e+02
9991 +6.34000e+02
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
69 -6.50000e+01
89 -6.40000e+01
156 -6.30000e+01
245 -6.20000e+01
293 -6.10000e+01
407 -6.00000e+01
556 -5.90000e+01
594 -5.80000e+01
621 -5.70000e+01
708 -5.60000e+01
907 -5.50000e+01
931 -5.40000e+01
1005 -5.30000e+01
1128 -5.20000e+01
1150 -5.10000e+01
1174 -5.00000e+01
1469 -4.90000e+01
1951 -4.80000e+01
2172 -4.70000e+01
2367 -4.50000e+01
2510 -4.40000e+01
2643 -4.30000e+01
2732 -4.20000e+01
2744 -4.10000e+01
2975 -4.00000e+01
3643 -3.90000e+01
3674 -3.80000e+01
4204 -3.70000e+01
4217 -3.60000e+01
4499 -3.50000e+01
4664 -3.40000e+01
4701 -3.30000e+01
4731 -3.20000e+01
4883 -3.10000e+01
4966 -3.00000e+01
5432 -2.90000e+01
5556 -2.80000e+01
6324 -2.70000e+01
6540 -2.60000e+01
6658 -2.50000e+01
6702 -2.40000e+01
6764 -2.30000e+01
7065 -2.20000e+01
7091 -2.10000e+01
7109 -2.00000e+01
7306 -1.90000e+01
7519 -1.80000e+01
7772 -1.70000e+01
7864 -1.60000e+01
7924 -1.50000e+01
8013 -1.40000e+01
8199 -1.30000e+01
8377 -1.20000e+01
8526 -1.10000e+01
8630 -1.00000e+01
9261 -9.00000e+00
9293 -8.00000e+00
9404 -7.00000e+00
9434 -6.00000e+00
9991 -6.00000e+00
"function evaluation" "best-so-far f(x)"
1 -6.60000e+01
25 -6.50000e+01
29 -6.40000e+01
45 -6.30000e+01
110 -6.20000e+01
138 -6.10000e+01
225 -6.00000e+01
351 -5.90000e+01
357 -5.80000e+01
445 -5.60000e+01
510 -5.50000e+01
596 -5.40000e+01
731 -5.30000e+01
1042 -5.00000e+01
1152 -4.90000e+01
1213 -4.70000e+01
1347 -4.60000e+01
1612 -4.50000e+01
1644 -4.40000e+01
1710 -4.30000e+01
1784 -4.20000e+01
2029 -4.10000e+01
2124 -4.00000e+01
2176 -3.90000e+01
2231 -3.80000e+01
2443 -3.70000e+01
2448 -3.60000e+01
2591 -3.50000e+01
2996 -3.40000e+01
3058 -3.30000e+01
3065 -3.20000e+01
3241 -3.10000e+01
3263 -3.00000e+01
3289 -2.90000e+01
3529 -2.80000e+01
3881 -2.70000e+01
4036 -2.60000e+01
4360 -2.50000e+01
4540 -2.40000e+01
4777 -2.30000e+01
4798 -2.20000e+01
5238 -2.10000e+01
5269 -2.00000e+01
5518 -1.90000e+01
5999 -1.80000e+01
6378 -1.70000e+01
6403 -1.60000e+01
